vuid,cuid,narrations_in_context,gt_belief,belief_choice_a,belief_choice_b,belief_choice_c,belief_choice_d,clip_start_time,clip_end_time
c5851c24-4ae3-4430-b867-f43800f0f56e,c5851c24-4ae3-4430-b867-f43800f0f56e~pass_1~877-999,"    00m:00s | #C C uses phone
    00m:01s | #O man S uses laptop
    00m:03s | #C C uses phone
    00m:17s | #C C turns off phone screen
    00m:19s | #C C drops seed on container lid
    00m:20s | #C C eats with fork spoon
    00m:22s | #C C puts down fork spoon
    00m:24s | #C C looks around
    00m:25s | #C C uses the phone
    00m:32s | #C C moves phone on the table
    00m:34s | #C C spits seeds on her hand
    00m:36s | #C C drops seeds in dish container
    00m:39s | #C C takes container lid
    00m:39s | #C C takes dish container
    00m:40s | #C C stands up
    00m:42s | #C C puts on shoes
    00m:45s | #C C walks to the kitchen
    00m:47s | #C C drinks fruit juice in dish container
    00m:52s | #C C drops seeds on container lid
    01m:05s | #C C drinks fruit juice in dish container
    01m:08s | #C C drops seeds on container lid
    01m:10s | #C C walks to the kitchen
    01m:10s | #C C puts container lid down
    01m:10s | #C C puts dish container down
    01m:12s | #C C eats with fork spoon
    01m:14s | #C C pours seeds in dish container
    01m:22s | #C C puts fork spoon down
    01m:22s | #C C puts container lid down
    01m:26s | #C C picks seeds on the ground
    01m:38s | #C C puts seeds in dish container
    01m:39s | #C C takes dish container
    01m:39s | #C C takes fork spoon
    01m:39s | #C C drops fork spoon in the sink
    01m:39s | #C C opens the tap
    01m:41s | #C C puts water in dish container
    01m:42s | #C C closes the tap
    01m:43s | #C C stirs seeds in dish container
    01m:45s | #C C takes container lid
    01m:47s | #C C covers dish container
    01m:58s | #C C pours water from dish container
    02m:02s | #C C shakes dish container
    02m:03s | #C C puts container lid down
    02m:04s | #C C puts dish container down
    02m:05s | #C C puts lid on dish container
    02m:06s | #C C presses buttons on the cooker
    02m:08s | #C C opens pot lid
    02m:10s | #C C puts lid down
    02m:13s | #C C moves back
    02m:16s | #C C points on sieve
    02m:18s | #C C takes the sieve
    02m:19s | #C C looks at man K
    02m:22s | #C C lowers the sieve
    02m:24s | #C C looks at man K
    02m:26s | #C C lifts sieve
    02m:28s | #C C selects coriander in sieve
    02m:35s | #C C looks at coriander
    02m:38s | #C C puts sieve down
    02m:39s | #C C touches on coriander
    02m:40s | #C C suspends coriander in sink
    02m:43s | #C C puts coriander in kitchen cabinet
    02m:45s | #C C picks coriander from sieve
    02m:47s | #C C puts coriander in kitchen cabinet
    02m:48s | #C C points with right hand
    02m:50s | #C C closes kitchen cabinet
    02m:50s | #C C touches on scarf
    02m:54s | #C C takes a bowl
    02m:58s | #C C puts bowl down
    02m:59s | #C C moves a plate
    03m:00s | #O man K puts dough tray down
    03m:02s | #O man K wipes on himself
    03m:04s | #O man K puts down a rag
    03m:05s | #C C points on the dough
    03m:07s | #O ,man K touches on dough
    03m:12s | #O man K opens drawer
    03m:15s | #O man K takes spoon
    03m:16s | #O man K takes dough with spoon",C believes that the ingredients need to be combined and processed to complete the meal preparation.,C believes that the meal is ready to be served to the guests.,C believes that the meal requires additional seasoning to enhance the flavor.,C believes that the meal needs to be kept warm until guests arrive.,C believes that the ingredients need to be combined and processed to complete the meal preparation.,2159.9659386000003,2359.1388386000003
2090d1c2-8308-4966-b903-e860b498f4e3,2090d1c2-8308-4966-b903-e860b498f4e3~pass_1~35-101,"    00m:19s | #x x drops dice on board
    00m:29s | #x x moves pawn on board
    00m:34s | #c c shuffles cards
    00m:36s | #x x talks
    00m:39s | #x x puts pawn on board
    00m:41s | #c c shows x card
    00m:47s | #c c shakes dice
    00m:50s | #c c drops dice on board
    00m:55s | #c c moves pawn on board
    00m:59s | #c c talks
    01m:01s | #x x shakes dice
    01m:04s | #x x drops dice on board
    01m:17s | #x x moves pawn on board
    01m:22s | #c c picks dice
    01m:22s | #c c shakes dice
    01m:23s | #c c drops dice on board
    01m:25s | #c c moves pawn on board
    01m:36s | #c c talks
    01m:40s | #x x picks cards
    01m:43s | #x x shuffles cards
    01m:55s | #x x shows c card
    01m:59s | #c c writes
    02m:04s | #x x talks
    02m:09s | #c c talks
    02m:25s | #x x writes
    02m:29s | #x x talks
    02m:31s | #c c talks
    02m:34s | #c c talks with x
    03m:04s | #c c picks dice
    03m:06s | #x x shakes dice
    03m:07s | #x x drops dice on board
