vuid,cuid,narrations_in_context,gt_goal,goal_choice_a,goal_choice_b,goal_choice_c,clip_start_time,clip_end_time
6c3e3490-9f33-4fec-9ce1-042e4d409a70,6c3e3490-9f33-4fec-9ce1-042e4d409a70~pass_1~77-141,"    00m:00s | #C C dips the brush in the container.-
    00m:01s | #C C paints the eagle sculpture with the brush.
    00m:10s | #C C dips the brush in the container.-
    00m:11s | #C C paints the eagle sculpture with the brush.
    00m:21s | #C C dips the paint brush into the paint container with his right hand.
    00m:22s | #C C paints the piece of pottery with the paint brush in his right hand.
    00m:38s | #C C dips the paint brush into the paint container with his right hand.
    00m:40s | #C C paints the piece of pottery with the paint brush in his right hand.
    00m:46s | #C C moves a pottery wheel with his left hand.
    00m:46s | #C C dips the paint brush into the paint container with his right hand.
    00m:47s | #C C paints the piece of pottery with the paint brush in his right hand.
    00m:56s | #C C dips the paint brush into the paint container with his right hand.
    00m:57s | #C C paints the piece of pottery with the paint brush in his right hand.
    01m:00s | #C C moves the pottery wheel with his left hand.
    01m:12s | #C C dips the paint brush into the paint container with his right hand.
    01m:13s | #C C paints the piece of pottery with the paint brush in his right hand.
    01m:22s | #C C dips the paint brush into the paint container with his right hand.
    01m:23s | #C C paints the piece of pottery with the paint brush in his right hand.
    01m:58s | #C C dips the paint brush into the paint container with his right hand.
    02m:12s | #C C moves the pottery wheel with his left hand.
    02m:27s | #C C dips the paint brush into the paint container with his right hand.
    02m:29s | #C C moves the pottery wheel with his left hand.
    02m:30s | #C C cleans the piece of pottery with his right hand.
    02m:32s | #C C passes the paintbrush from his right hand to his left hand.
    02m:32s | #C C picks a sculpting tool from the pottery wheel with his right hand.
    02m:34s | #C C sculpts the piece of pottery with the sculpting tool in his right hand.
    02m:35s | #C C scrapes the pottery wheel with the sculpting tool in his right hand.
    02m:39s | #C C drops the sculpting tool on the pottery wheel with his right hand.
    02m:40s | #C C passes the paintbrush from his left hand to his right hand.
    02m:41s | #C C paints the piece of pottery with the paint brush in his right hand.
    03m:02s | #C C moves the pottery wheel with his left hand.
    03m:05s | #C C cleans the piece of pottery with his right hand.
    03m:08s | #C C drops the paint container on a table with his left hand.
    03m:08s | #C C moves the pottery wheel with his left hand.
    03m:13s | #C C passes the paint brush from his right hand to his left hand.
    03m:14s | #C C drops the paint brush in the paint container with his left hand.
    03m:15s | #C C picks the paint container from the table with his left hand.
    03m:16s | #C C picks the paint brush from the paint container with his right hand.",To finalize and clean up the pottery piece.,To prepare the pottery for firing in the kiln.,To mix different paint colors for a new project.,To finalize and clean up the pottery piece.,270.4950952666667,469.07222526666663
