vuid,cuid,narrations_in_context,gt_actions,actions_choice_a,actions_choice_b,actions_choice_c,actions_choice_d,clip_start_time,clip_end_time
9930414f-b998-4217-b6b5-aa686236fdf8,9930414f-b998-4217-b6b5-aa686236fdf8~pass_2~454-531,"    00m:02s | #C C puts the receipt on the counter table
    00m:07s | #C C looks around
    00m:10s | #C C takes the meat packet
    00m:12s | #C C lifts up the bag
    00m:13s | #C C puts the bag on the counter table
    00m:18s | #C C takes the meat packet
    00m:19s | #C C puts the packet on the table
    00m:19s | #C C takes the cans from the trolley
    00m:20s | #C C puts the juice can on the table
    00m:22s | #C C takes the cans
    00m:23s | #C C puts the cans on the counter
    00m:24s | #C C takes the eggs
    00m:25s | #C C puts the eggs on the counter
    00m:30s | #C C puts the dish on the table
    00m:34s | #C C puts the can on the table
    00m:39s | #C C puts the bottles on the counter table
    00m:43s | #C C picks the other spice bottles
    00m:46s | #C C puts the bottle on the counter table
    00m:56s | #C C looks around
    00m:59s | #C C walks in the supermarket
    01m:04s | #C C walks towards the trolley
    01m:06s | #O A man X moves a few steps
    01m:15s | #C C operates his phone
    01m:20s | #O A woman Y pushes the trolley
    01m:24s | #O A man Z prices the items
    01m:32s | #C C puts down his phone
    01m:33s | #C C takes the box from the trolley
    01m:38s | #C C puts the box on the counter
    01m:39s | #O Aman Z moves the cans on the counter
    01m:44s | #O A man Z scans the items with the machine
    01m:49s | #C C takes the box from the trolley
    01m:51s | #C C takes the shopping bag from the counter
    01m:56s | #O A man Z scans the items on the counter
    01m:58s | #C C takes the meat packets on the counter
    01m:58s | #C C puts the meat packet in the carrier bag
    02m:04s | #C C takes the meat packet on the counter
    02m:05s | #C C puts the meat packet in the carrier bag
    02m:06s | #C C takes the other carrier bag
    02m:11s | #C C takes the can on the counter
    02m:12s | #C C puts the can in the carrier bag
    02m:14s | #C C takes the other can
    02m:14s | #C C puts the can in the shopping bag
    02m:17s | #C C takes the can on the table
    02m:19s | #O A man Z scans the receipt
    02m:21s | #C C parks the can in the carrier bag
    02m:26s | #O A man Z moves the can on the counter
    02m:29s | #O A man Z presses the machine
    02m:31s | #O A man Z scans the phone
    02m:35s | #O A man Z moves the item on the counter
    02m:36s | #C C packs the item in the carrier bag
    02m:46s | #C C puts the the carrier bag in the trolley
    02m:49s | #C C takes the phone
    02m:49s | #O A man Z lifts up his hand
    02m:50s | #O A man Z touches the counter
    02m:52s | #O A man Z presses the machine
    02m:53s | #C C operates his phone
    03m:07s | #C C scans his phone
    03m:10s | #O A man Z looks in the packet
    03m:16s | #C C puts the eggs in the carrier bag
    03m:19s | #C C takes the carrier bag","C puts the carrier bag in the trolley, pulls the trolley, and pushes the trolley out of the supermarket.","C puts the carrier bag in the trolley, pulls the trolley, and pushes the trolley out of the supermarket.","C scans the counter, picks up items, and places them in the bag.","C opens the bag, removes items, and returns them to the counter.","C approaches the cashier, retrieves his wallet, and prepares his credit card.",2972.5240986,3170.8725686000002
6c3e3490-9f33-4fec-9ce1-042e4d409a70,6c3e3490-9f33-4fec-9ce1-042e4d409a70~pass_1~77-141,"    00m:00s | #C C dips the brush in the container.-
    00m:01s | #C C paints the eagle sculpture with the brush.
    00m:10s | #C C dips the brush in the container.-
    00m:11s | #C C paints the eagle sculpture with the brush.
    00m:21s | #C C dips the paint brush into the paint container with his right hand.
    00m:22s | #C C paints the piece of pottery with the paint brush in his right hand.
    00m:38s | #C C dips the paint brush into the paint container with his right hand.
    00m:40s | #C C paints the piece of pottery with the paint brush in his right hand.
    00m:46s | #C C moves a pottery wheel with his left hand.
    00m:46s | #C C dips the paint brush into the paint container with his right hand.
    00m:47s | #C C paints the piece of pottery with the paint brush in his right hand.
    00m:56s | #C C dips the paint brush into the paint container with his right hand.
    00m:57s | #C C paints the piece of pottery with the paint brush in his right hand.
    01m:00s | #C C moves the pottery wheel with his left hand.
    01m:12s | #C C dips the paint brush into the paint container with his right hand.
    01m:13s | #C C paints the piece of pottery with the paint brush in his right hand.
    01m:22s | #C C dips the paint brush into the paint container with his right hand.
    01m:23s | #C C paints the piece of pottery with the paint brush in his right hand.
    01m:58s | #C C dips the paint brush into the paint container with his right hand.
    02m:12s | #C C moves the pottery wheel with his left hand.
